id,name,open_date,event_type_id
33162699,Cleveland Guardians @ Minnesota Twins,2024-04-04 20:11:00,7511
33162701,Chicago White Sox @ Kansas City Royals,2024-04-04 23:41:00,7511
33162705,Detroit Tigers @ New York Mets,2024-04-04 16:11:00,7511
33162695,Miami Marlins @ St. Louis Cardinals,2024-04-04 20:16:00,7511
33162693,Pittsburgh Pirates @ Washington Nationals,2024-04-04 20:06:00,7511
33163399,Detroit Tigers @ New York Mets Game 2,2024-04-04 19:11:00,7511
33165241,Chicago White Sox @ Kansas City Royals,2024-04-05 23:41:00,7511
33165247,Tampa Bay Rays @ Colorado Rockies,2024-04-05 20:11:00,7511
33165244,Houston Astros @ Texas Rangers,2024-04-06 00:06:00,7511
33165245,Boston Red Sox @ Los Angeles Angels,2024-04-06 01:39:00,7511
33165234,Philadelphia Phillies @ Washington Nationals,2024-04-05 22:46:00,7511
33165235,Arizona Diamondbacks @ Atlanta Braves,2024-04-05 23:21:00,7511
33165232,San Diego Padres @ San Francisco Giants,2024-04-05 20:36:00,7511
33165233,New York Mets @ Cincinnati Reds,2024-04-05 22:41:00,7511
33165236,Toronto Blue Jays @ New York Yankees,2024-04-05 17:06:00,7511
33165237,Oakland Athletics @ Detroit Tigers,2024-04-05 17:11:00,7511
33165231,Los Angeles Dodgers @ Chicago Cubs,2024-04-05 18:21:00,7511
33165250,Seattle Mariners @ Milwaukee Brewers,2024-04-06 00:11:00,7511
33165249,Baltimore Orioles @ Pittsburgh Pirates,2024-04-05 20:13:00,7511
33168218,Arizona Diamondbacks @ Atlanta Braves,2024-04-06 23:21:00,7511
33168217,New York Mets @ Cincinnati Reds,2024-04-06 20:11:00,7511
33168221,San Diego Padres @ San Francisco Giants,2024-04-07 01:06:00,7511
33168210,Miami Marlins @ St. Louis Cardinals,2024-04-06 18:16:00,7511
33168214,Philadelphia Phillies @ Washington Nationals,2024-04-06 20:06:00,7511
33168212,Los Angeles Dodgers @ Chicago Cubs,2024-04-06 20:06:00,7511
33168234,Boston Red Sox @ Los Angeles Angels,2024-04-07 01:45:00,7511
33168235,Baltimore Orioles @ Pittsburgh Pirates,2024-04-06 20:06:00,7511
33168232,Houston Astros @ Texas Rangers,2024-04-06 23:06:00,7511
33168233,Chicago White Sox @ Kansas City Royals,2024-04-06 23:11:00,7511
33168236,Seattle Mariners @ Milwaukee Brewers,2024-04-06 23:11:00,7511
33168237,Tampa Bay Rays @ Colorado Rockies,2024-04-07 00:11:00,7511
33168225,Oakland Athletics @ Detroit Tigers,2024-04-06 17:11:00,7511
33168228,Cleveland Guardians @ Minnesota Twins,2024-04-06 18:11:00,7511
33168229,Toronto Blue Jays @ New York Yankees,2024-04-06 23:06:00,7511
33170843,Houston Astros @ Texas Rangers,2024-04-07 23:11:00,7511
33170840,Chicago White Sox @ Kansas City Royals,2024-04-07 18:11:00,7511
33170841,Cleveland Guardians @ Minnesota Twins,2024-04-07 18:11:00,7511
33170846,Seattle Mariners @ Milwaukee Brewers,2024-04-07 18:11:00,7511
33170815,Arizona Diamondbacks @ Atlanta Braves,2024-04-07 17:36:00,7511
