id,status,last_price_traded,total_matched,handicap,market_id,record_date
41541473,ACTIVE,2.48,0.0,0.0,1.216084286,2023-07-15 12:00
29163,ACTIVE,1.67,0.0,0.0,1.216084286,2023-07-15 12:00
29177,ACTIVE,,0.0,0.0,1.216084332,2023-07-15 12:00
29175,ACTIVE,,0.0,0.0,1.216084332,2023-07-15 12:00
29177,ACTIVE,1.86,0.0,0.0,1.216084468,2023-07-15 12:00
29175,ACTIVE,2.18,0.0,0.0,1.216084468,2023-07-15 12:00
29178,ACTIVE,1.76,0.0,0.0,1.216084604,2023-07-15 12:00
29176,ACTIVE,2.32,0.0,0.0,1.216084604,2023-07-15 12:00
5408012,ACTIVE,3.6,0.0,0.0,1.216084650,2023-07-15 12:00
7100960,ACTIVE,1.39,0.0,0.0,1.216084650,2023-07-15 12:00
29161,ACTIVE,1.64,0.0,0.0,1.216084696,2023-07-15 12:00
29168,ACTIVE,2.48,0.0,0.0,1.216084696,2023-07-15 12:00
29171,ACTIVE,2.1,0.0,0.0,1.216083964,2023-07-15 18:00
29174,ACTIVE,1.87,0.0,0.0,1.216083964,2023-07-15 18:00
29172,ACTIVE,2.14,0.0,0.0,1.216084010,2023-07-15 18:00
29167,ACTIVE,1.88,0.0,0.0,1.216084010,2023-07-15 18:00
6266193,ACTIVE,2.08,0.0,0.0,1.216084056,2023-07-15 18:00
29157,ACTIVE,1.9,0.0,0.0,1.216084056,2023-07-15 18:00
29159,ACTIVE,2.82,0.0,0.0,1.216084102,2023-07-15 18:00
7100968,ACTIVE,1.53,0.0,0.0,1.216084102,2023-07-15 18:00
29158,ACTIVE,1.89,0.0,0.0,1.216084148,2023-07-15 18:00
29166,ACTIVE,2.1,0.0,0.0,1.216084148,2023-07-15 18:00
29165,ACTIVE,2.1,0.0,0.0,1.216084194,2023-07-15 18:00
29164,ACTIVE,1.91,0.0,0.0,1.216084194,2023-07-15 18:00
29170,ACTIVE,1.71,0.0,0.0,1.216084240,2023-07-15 18:00
1093236,ACTIVE,2.42,0.0,0.0,1.216084240,2023-07-15 18:00
