game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
717640,2023-06-25T01:10:00Z,2023-06-24,R,Final,Los Angeles Angels,Colorado Rockies,108,115,N,1,Chase Anderson,Griffin Canning,,,25,1,9.0,Bottom,19,Coors Field,['MLBN (out-of-market only)'],Series tied 1-1,Los Angeles Angels,Colorado Rockies,Griffin Canning,Chase Anderson,,2023-06-24 - Los Angeles Angels (25) @ Colorado Rockies (1) (Final),
717623,2023-06-25T14:10:00Z,2023-06-25,R,Final,Chicago Cubs,St. Louis Cardinals,112,138,N,1,Matthew Liberatore,Marcus Stroman,,,5,7,9.0,Top,5381,London Stadium,['ESPN'],Series tied 1-1,St. Louis Cardinals,Chicago Cubs,Jake Woodford,Marcus Stroman,Jordan Hicks,2023-06-25 - Chicago Cubs (5) @ St. Louis Cardinals (7) (Final),
717621,2023-06-25T16:10:00Z,2023-06-25,R,Final,Minnesota Twins,Detroit Tigers,142,116,N,1,Michael Lorenzen,Bailey Ober,,,6,3,10.0,Bottom,2394,Comerica Park,[],MIN wins 2-1,Minnesota Twins,Detroit Tigers,Griffin Jax,Brendan White,Jhoan Duran,2023-06-25 - Minnesota Twins (6) @ Detroit Tigers (3) (Final),
717627,2023-06-25T17:35:00Z,2023-06-25,R,Final,Seattle Mariners,Baltimore Orioles,136,110,N,1,Kyle Bradish,George Kirby,,,2,3,9.0,Top,2,Oriole Park at Camden Yards,[],BAL wins 2-1,Baltimore Orioles,Seattle Mariners,Kyle Bradish,George Kirby,Felix Bautista,2023-06-25 - Seattle Mariners (2) @ Baltimore Orioles (3) (Final),
717624,2023-06-25T17:35:00Z,2023-06-25,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,Zack Wheeler,Carlos Carrasco,,,6,7,9.0,Top,2681,Citizens Bank Park,['MLBN (out-of-market only)'],PHI wins 2-1,Philadelphia Phillies,New York Mets,Jeff Hoffman,Jeff Brigham,Craig Kimbrel,2023-06-25 - New York Mets (6) @ Philadelphia Phillies (7) (Final),
717622,2023-06-25T17:35:00Z,2023-06-25,R,Final,Texas Rangers,New York Yankees,140,147,N,1,Gerrit Cole,Nathan Eovaldi,,,3,5,9.0,Top,3313,Yankee Stadium,['MLB.tv Free Game'],NYY wins 2-1,New York Yankees,Texas Rangers,Ron Marinaccio,John King,Michael King,2023-06-25 - Texas Rangers (3) @ New York Yankees (5) (Final),
717617,2023-06-25T17:37:00Z,2023-06-25,R,Final,Oakland Athletics,Toronto Blue Jays,133,141,N,1,Yusei Kikuchi,Luis Medina,,,1,12,9.0,Top,14,Rogers Centre,[],TOR wins 2-1,Toronto Blue Jays,Oakland Athletics,Yusei Kikuchi,Luis Medina,,2023-06-25 - Oakland Athletics (1) @ Toronto Blue Jays (12) (Final),
717619,2023-06-25T17:40:00Z,2023-06-25,R,Final,Kansas City Royals,Tampa Bay Rays,118,139,N,1,Tyler Glasnow,Daniel Lynch,,,1,3,9.0,Top,12,Tropicana Field,[],Series tied 2-2,Tampa Bay Rays,Kansas City Royals,Colin Poche,Taylor Clarke,Pete Fairbanks,2023-06-25 - Kansas City Royals (1) @ Tampa Bay Rays (3) (Final),
717618,2023-06-25T17:40:00Z,2023-06-25,R,Final,Atlanta Braves,Cincinnati Reds,144,113,N,1,Levi Stoudt,Charlie Morton,,,7,6,9.0,Bottom,2602,Great American Ball Park,[],ATL wins 2-1,Atlanta Braves,Cincinnati Reds,Charlie Morton,Randy Wynne,Raisel Iglesias,2023-06-25 - Atlanta Braves (7) @ Cincinnati Reds (6) (Final),
717620,2023-06-25T17:40:00Z,2023-06-25,R,Final,Pittsburgh Pirates,Miami Marlins,134,146,N,1,Eury Perez,Johan Oviedo,,,0,2,9.0,Top,4169,loanDepot park,[],MIA wins 3-1,Miami Marlins,Pittsburgh Pirates,Eury Perez,Johan Oviedo,A.J. Puk,2023-06-25 - Pittsburgh Pirates (0) @ Miami Marlins (2) (Final),
717613,2023-06-25T17:40:00Z,2023-06-25,R,Final,Milwaukee Brewers,Cleveland Guardians,158,114,N,1,Aaron Civale,Corbin Burnes,,,5,4,10.0,Bottom,5,Progressive Field,['MLBN (out-of-market only)'],MIL wins 2-1,Milwaukee Brewers,Cleveland Guardians,Devin Williams,Trevor Stephan,Elvis Peguero,2023-06-25 - Milwaukee Brewers (5) @ Cleveland Guardians (4) (Final),
717614,2023-06-25T18:10:00Z,2023-06-25,R,Final,Boston Red Sox,Chicago White Sox,111,145,N,1,Tanner Banks,Kutter Crawford,,,1,4,9.0,Top,4,Guaranteed Rate Field,[],CWS wins 2-1,Chicago White Sox,Boston Red Sox,Jesse Scholtens,Kutter Crawford,Keynan Middleton,2023-06-25 - Boston Red Sox (1) @ Chicago White Sox (4) (Final),
717616,2023-06-25T19:10:00Z,2023-06-25,R,Final,Los Angeles Angels,Colorado Rockies,108,115,N,1,Austin Gomber,Tyler Anderson,,,3,4,9.0,Top,19,Coors Field,[],COL wins 2-1,Colorado Rockies,Los Angeles Angels,Austin Gomber,Tyler Anderson,Justin Lawrence,2023-06-25 - Los Angeles Angels (3) @ Colorado Rockies (4) (Final),
717612,2023-06-25T20:05:00Z,2023-06-25,R,Final,Arizona Diamondbacks,San Francisco Giants,109,137,N,1,Anthony DeSclafani,Ryne Nelson,,,5,2,9.0,Bottom,2395,Oracle Park,['MLBN (out-of-market only)'],SF wins 2-1,Arizona Diamondbacks,San Francisco Giants,Ryne Nelson,Anthony DeSclafani,Scott McGough,2023-06-25 - Arizona Diamondbacks (5) @ San Francisco Giants (2) (Final),
717610,2023-06-25T20:10:00Z,2023-06-25,R,Final,Washington Nationals,San Diego Padres,120,135,N,1,Seth Lugo,MacKenzie Gore,,,8,3,9.0,Bottom,2680,Petco Park,[],WSH wins 2-1,Washington Nationals,San Diego Padres,MacKenzie Gore,Seth Lugo,,2023-06-25 - Washington Nationals (8) @ San Diego Padres (3) (Final),
717615,2023-06-25T23:10:00Z,2023-06-25,R,Final,Houston Astros,Los Angeles Dodgers,117,119,N,1,Tony Gonsolin,Hunter Brown,,,6,5,11.0,Bottom,22,Dodger Stadium,['ESPN'],LAD wins 2-1,Houston Astros,Los Angeles Dodgers,Ryan Pressly,Yency Almonte,Seth Martinez,2023-06-25 - Houston Astros (6) @ Los Angeles Dodgers (5) (Final),
717611,2023-06-26T23:05:00Z,2023-06-26,R,Final,Cincinnati Reds,Baltimore Orioles,113,110,N,1,Cole Irvin,Brandon Williamson,,,3,10,9.0,Top,2,Oriole Park at Camden Yards,[],BAL leads 1-0,Baltimore Orioles,Cincinnati Reds,Bruce Zimmermann,Brandon Williamson,,2023-06-26 - Cincinnati Reds (3) @ Baltimore Orioles (10) (Final),
717607,2023-06-26T23:10:00Z,2023-06-26,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,Justin Verlander,Colin Rea,,,2,1,9.0,Bottom,3289,Citi Field,['MLBN (out-of-market only)'],MIL leads 1-0,Milwaukee Brewers,New York Mets,Colin Rea,Drew Smith,Devin Williams,2023-06-26 - Milwaukee Brewers (2) @ New York Mets (1) (Final),
717609,2023-06-26T23:20:00Z,2023-06-26,R,Final,Minnesota Twins,Atlanta Braves,142,144,N,1,Spencer Strider,Sonny Gray,,,1,4,9.0,Top,4705,Truist Park,['MLBN (out-of-market only)'],ATL leads 1-0,Atlanta Braves,Minnesota Twins,Spencer Strider,Sonny Gray,Kirby Yates,2023-06-26 - Minnesota Twins (1) @ Atlanta Braves (4) (Final),
717606,2023-06-27T00:05:00Z,2023-06-26,R,Final,Detroit Tigers,Texas Rangers,116,140,N,1,Andrew Heaney,Matthew Boyd,,,7,2,9.0,Bottom,5325,Globe Life Field,[],DET leads 1-0,Detroit Tigers,Texas Rangers,Mason Englert,Andrew Heaney,,2023-06-26 - Detroit Tigers (7) @ Texas Rangers (2) (Final),
717608,2023-06-27T01:38:00Z,2023-06-26,R,Final,Chicago White Sox,Los Angeles Angels,145,108,N,1,Reid Detmers,Dylan Cease,,,1,2,9.0,Bottom,1,Angel Stadium,['MLBN (out-of-market only)'],LAA leads 1-0,Los Angeles Angels,Chicago White Sox,Carlos Estevez,Reynaldo Lopez,,2023-06-26 - Chicago White Sox (1) @ Los Angeles Angels (2) (Final),
