pitcher_id,pitcher_name,current_team,position,pitch_hand,games_started
676760,Ron Marinaccio,New York Yankees,P,Right,0
686610,Ken Waldichuk,Oakland Athletics,P,Left,11
642048,Tayler Saucedo,Seattle Mariners,P,Left,0
642232,Ryan Yarbrough,Kansas City Royals,P,Left,4
595345,Steven Okert,Miami Marlins,P,Left,0
606303,Joel Payamps,Milwaukee Brewers,P,Right,0
663623,Jake Irvin,Washington Nationals,P,Right,12
657756,Connor Seabold,Colorado Rockies,P,Right,12
596133,Luke Weaver,Cincinnati Reds,P,Right,15
594902,Ben Lively,Cincinnati Reds,P,Right,8
641585,J.P. France,Houston Astros,P,Right,11
663878,Nate Pearson,Toronto Blue Jays,P,Right,0
671345,Jason Foley,Detroit Tigers,P,Right,0
664062,Tony Gonsolin,Los Angeles Dodgers,P,Right,13
606160,Rafael Montero,Houston Astros,P,Right,0
453268,Daniel Bard,Colorado Rockies,P,Right,0
641360,Phil Bickford,Los Angeles Dodgers,P,Right,0
643493,Austin Pruitt,Oakland Athletics,P,Right,4
573124,Taylor Rogers,San Francisco Giants,P,Left,0
614179,Jose Ruiz,Arizona Diamondbacks,P,Right,0
606965,Chris Devenski,Los Angeles Angels,P,Right,0
592094,Jason Adam,Tampa Bay Rays,P,Right,0
592848,Zack Weiss,Los Angeles Angels,P,Right,0
608638,JT Chargois,Miami Marlins,P,Right,0
676254,Ryan Walker,San Francisco Giants,P,Right,5
623465,Evan Phillips,Los Angeles Dodgers,P,Right,0
656234,Jake Bird,Colorado Rockies,P,Right,1
650633,Michael King,New York Yankees,P,Right,0
676272,Bobby Miller,Los Angeles Dodgers,P,Right,8
628452,Raisel Iglesias,Atlanta Braves,P,Right,0
571656,Buck Farmer,Cincinnati Reds,P,Right,0
675540,Xzavion Curry,Cleveland Guardians,P,Right,0
668674,Lucas Erceg,Oakland Athletics,P,Right,0
681982,Grant Anderson,Texas Rangers,P,Right,0
657240,Julian Merryweather,Chicago Cubs,P,Right,0
623437,Justin Topa,Seattle Mariners,P,Right,0
455119,Chris Martin,Boston Red Sox,P,Right,0
670990,Yohan Ramirez,Pittsburgh Pirates,P,Right,0
641871,Keynan Middleton,Chicago White Sox,P,Right,0
625643,Reynaldo Lopez,Chicago White Sox,P,Right,0
624133,Ranger Suarez,Philadelphia Phillies,P,Left,11
622780,Angel Perdomo,Pittsburgh Pirates,P,Left,0
671096,Andrew Abbott,Cincinnati Reds,P,Left,7
519293,Will Smith,Texas Rangers,P,Left,0
663687,Hogan Harris,Oakland Athletics,P,Left,4
605200,Zach Davies,Arizona Diamondbacks,P,Right,11
663855,Jordan Hicks,St. Louis Cardinals,P,Right,0
607192,Tyler Glasnow,Tampa Bay Rays,P,Right,8
665622,Luis Medina,Oakland Athletics,P,Right,8
657097,Jacob Webb,Los Angeles Angels,P,Right,0
543294,Kyle Hendricks,Chicago Cubs,P,Right,9
676664,JP Sears,Oakland Athletics,P,Left,18
696147,Sam Bachman,Los Angeles Angels,P,Right,0
608678,Dominic Leone,New York Mets,P,Right,0
519151,Ryan Pressly,Houston Astros,P,Right,0
596112,Robert Stephenson,Tampa Bay Rays,P,Right,0
686839,Brendan White,Detroit Tigers,P,Right,1
622065,Alex Young,Cincinnati Reds,P,Left,0
663738,Daniel Lynch,Kansas City Royals,P,Left,8
664208,Phil Maton,Houston Astros,P,Right,0
663558,Jovani Moran,Minnesota Twins,P,Left,0
693433,Bryan Woo,Seattle Mariners,P,Right,7
572955,Pierce Johnson,Colorado Rockies,P,Right,0
686218,Emmet Sheehan,Los Angeles Dodgers,P,Right,4
622663,Luis Severino,New York Yankees,P,Right,9
681857,Reese Olson,Detroit Tigers,P,Right,5
656546,Jeff Hoffman,Philadelphia Phillies,P,Right,0
669947,Jesse Scholtens,Chicago White Sox,P,Right,2
621112,Paul Blackburn,Oakland Athletics,P,Right,7
650960,Daniel Duarte,Cincinnati Reds,P,Right,0
647336,Michael Soroka,Atlanta Braves,P,Right,4
662253,Andres Munoz,Seattle Mariners,P,Right,0
656529,Sam Hentges,Cleveland Guardians,P,Left,0
701643,Grant Hartwig,New York Mets,P,Right,0
592454,Tommy Kahnle,New York Yankees,P,Right,0
694037,Daniel Palencia,Chicago Cubs,P,Right,0
650496,J.C. Mejia,Milwaukee Brewers,P,Right,0
